Sample_ID,Patient_ID,Protein,Intensity
1_S1,P001,ProtA,0.39
1_S1,P001,ProtB,1.0
1_S1,P001,ProtC,0.7
1_S1,P001,ProtD,0.57
1_S1,P001,ProtE,0.13
1_S2,P001,ProtA,0.33
1_S2,P001,ProtB,0.82
1_S2,P001,ProtC,0.78
1_S2,P001,ProtD,0.64
1_S2,P001,ProtE,0.08
2_S1,P002,ProtA,0.14
2_S1,P002,ProtB,0.22
2_S1,P002,ProtC,0.34
2_S1,P002,ProtD,0.46
2_S1,P002,ProtE,0.73
2_S2,P002,ProtA,0.16
2_S2,P002,ProtB,0.26
2_S2,P002,ProtC,0.35
2_S2,P002,ProtD,0.43
2_S2,P002,ProtE,0.88
3_S1,P003,ProtA,0.06
3_S1,P003,ProtB,0.55
3_S1,P003,ProtC,0.17
3_S1,P003,ProtD,0.97
3_S1,P003,ProtE,0.27
3_S2,P003,ProtA,0.17
3_S2,P003,ProtB,0.44
3_S2,P003,ProtC,0.0
3_S2,P003,ProtD,0.95
3_S2,P003,ProtE,0.23
4_S1,P004,ProtA,0.32
4_S1,P004,ProtB,0.31
4_S1,P004,ProtC,0.59
4_S1,P004,ProtD,0.19
4_S1,P004,ProtE,0.76
4_S2,P004,ProtA,0.34
4_S2,P004,ProtB,0.3
4_S2,P004,ProtC,0.59
4_S2,P004,ProtD,0.12
4_S2,P004,ProtE,0.79
5_S1,P005,ProtA,0.26
5_S1,P005,ProtB,0.32
5_S1,P005,ProtC,0.78
5_S1,P005,ProtD,0.68
5_S1,P005,ProtE,0.96
5_S2,P005,ProtA,0.33
5_S2,P005,ProtB,0.49
5_S2,P005,ProtC,0.68
5_S2,P005,ProtD,0.62
5_S2,P005,ProtE,0.88
6_S1,P006,ProtA,0.1
6_S1,P006,ProtB,0.05
6_S1,P006,ProtC,0.71
6_S1,P006,ProtD,0.29
6_S1,P006,ProtE,0.47
6_S2,P006,ProtA,0.08
6_S2,P006,ProtB,0.08
6_S2,P006,ProtC,0.65
6_S2,P006,ProtD,0.29
6_S2,P006,ProtE,0.53
7_S1,P007,ProtA,0.88
7_S1,P007,ProtB,0.52
7_S1,P007,ProtC,0.87
7_S1,P007,ProtD,0.88
7_S1,P007,ProtE,0.19
7_S2,P007,ProtA,0.91
7_S2,P007,ProtB,0.52
7_S2,P007,ProtC,0.79
7_S2,P007,ProtD,0.92
7_S2,P007,ProtE,0.31
8_S1,P008,ProtA,0.23
8_S1,P008,ProtB,0.52
8_S1,P008,ProtC,0.71
8_S1,P008,ProtD,0.49
8_S1,P008,ProtE,0.96
8_S2,P008,ProtA,0.34
8_S2,P008,ProtB,0.52
8_S2,P008,ProtC,0.64
8_S2,P008,ProtD,0.42
8_S2,P008,ProtE,1.0
9_S1,P009,ProtA,0.19
9_S1,P009,ProtB,0.73
9_S1,P009,ProtC,0.34
9_S1,P009,ProtD,0.68
9_S1,P009,ProtE,0.72
9_S2,P009,ProtA,0.28
9_S2,P009,ProtB,0.73
9_S2,P009,ProtC,0.35
9_S2,P009,ProtD,0.66
9_S2,P009,ProtE,0.57
10_S1,P010,ProtA,0.14
10_S1,P010,ProtB,0.67
10_S1,P010,ProtC,0.43
10_S1,P010,ProtD,0.88
10_S1,P010,ProtE,0.15
10_S2,P010,ProtA,0.24
10_S2,P010,ProtB,0.61
10_S2,P010,ProtC,0.4
10_S2,P010,ProtD,0.95
10_S2,P010,ProtE,0.18
11_S1,P011,ProtA,0.37
11_S1,P011,ProtB,0.41
11_S1,P011,ProtC,0.74
11_S1,P011,ProtD,0.94
11_S1,P011,ProtE,0.9
11_S2,P011,ProtA,0.28
11_S2,P011,ProtB,0.4
11_S2,P011,ProtC,0.79
11_S2,P011,ProtD,0.93
11_S2,P011,ProtE,0.84
12_S1,P012,ProtA,0.28
12_S1,P012,ProtB,0.42
12_S1,P012,ProtC,0.73
12_S1,P012,ProtD,0.61
12_S1,P012,ProtE,0.8
12_S2,P012,ProtA,0.2
12_S2,P012,ProtB,0.32
